customer_id,customer_name,location_id,safety_risk,difficult_access
10001,Hospital Clinic de Barcelona,1,2,0
10002,Barcelona Food Processing,2,1,0
10003,Catalonia Industrial Systems,3,0,0
10004,University Hospital of Barcelona,4,2,0
10005,Barcelona Medical Devices,5,0,0
10006,Catalonia Pharmaceutical Plant,6,1,0
10007,Barcelona Biotech Research,7,1,0
10008,Mediterranean Food Industries,8,2,0
10009,Barcelona Regional Hospital,9,2,0
10010,Catalonia Advanced Manufacturing,10,1,0
10011,Hospital La Paz Madrid,11,2,0
10012,Madrid Food Distributors,12,1,0
10013,University of Madrid,13,0,0
10014,Madrid Industrial Complex,14,0,0
10015,Madrid Pharmaceutical Industries,15,1,0
10016,Madrid Children's Hospital,16,2,0
10017,Iberian Food Processing Plant,17,1,0
10018,Madrid Medical Systems,18,0,0
10019,Madrid Central Hospital,19,1,0
10020,Madrid Technology Park,20,0,0
10021,Valencia General Hospital,21,2,0
10022,Valencia Food Corporation,22,1,0
10023,Valencia Industrial Supplies,23,2,0
10024,University of Valencia Medical Center,24,2,0
10025,Valencia Chemical Processing,25,0,0
10026,Valencia Manufacturing Center,26,0,0
10027,Valencia Regional Hospital,27,2,0
10028,Mediterranean Fruit Processors,28,1,0
10029,Valencia Industrial Park,29,1,0
10030,Valencia Medical Supplies,30,0,0
10031,Hospital Universitario Virgen del Rocío,31,2,0
10032,Andalusian Food Producers,32,0,0
10033,Seville Industrial Machinery,33,0,0
10034,University of Seville Hospital,34,0,0
10035,Seville Manufacturing Complex,35,1,0
10036,Seville Medical Research Center,36,0,0
10037,Andalusian Food Processing,37,0,0
10038,Seville Regional Hospital,38,0,0
10039,Seville Industrial Technology,39,0,0
10040,Seville Pharmaceutical Industries,40,0,0
10041,Hospital de Basurto,41,0,0
10042,Bilbao Steel Industries,42,0,0
10043,Basque Food Producers,43,2,0
10044,University Medical Center of Bilbao,44,0,0
10045,Bilbao Industrial Solutions,45,0,0
10046,Bilbao Regional Hospital,46,0,0
10047,Basque Manufacturing Systems,47,0,0
10048,Bilbao Technology Park,48,0,0
10049,Bilbao Food Processing Plant,49,0,0
10050,Bilbao Medical Devices,50,2,0
10051,Hospital Regional de Málaga,51,0,0
10052,Málaga Food Industries,52,0,0
10053,Andalusian Technology Park,53,0,0
10054,University Hospital of Málaga,54,0,0
10055,Málaga Industrial Complex,55,0,0
10056,Málaga Medical Center,56,1,0
10057,Costa del Sol Food Processing,57,0,0
10058,Málaga Manufacturing Solutions,58,0,0
10059,Málaga Regional Hospital,59,0,0
10060,Málaga Pharmaceutical Plant,60,0,0
10061,Hospital Universitario San Cecilio,61,0,0
10062,Granada Food Producers,62,0,0
10063,Granada Industrial Park,63,0,0
10064,University Medical Center of Granada,64,0,0
10065,Granada Manufacturing Systems,65,1,0
10066,Granada Regional Hospital,66,0,0
10067,Andalusian Processing Plant,67,0,0
10068,Granada Biotech Research,68,0,0
10069,Granada Medical Technologies,69,0,0
10070,Granada Industrial Solutions,70,0,0
10071,Hospital Universitario Central de Asturias,71,0,0
10072,Asturian Food Processing,72,1,0
10073,Oviedo Industrial Complex,73,2,0
10074,University Hospital of Oviedo,74,0,0
10075,Asturias Manufacturing Center,75,0,0
10076,Oviedo Medical Technologies,76,0,0
10077,Asturian Food Industries,77,0,0
10078,Oviedo Industrial Park,78,0,0
10079,Oviedo Regional Hospital,79,0,0
10080,Asturian Pharmaceutical Plant,80,0,0
10081,Hospital Universitario Miguel Servet,81,0,0
10082,Zaragoza Food Industries,82,0,0
10083,Zaragoza Industrial Solutions,83,0,0
10084,University Hospital of Zaragoza,84,0,1
10085,Ebro Valley Food Processing,85,0,0
10086,Zaragoza Manufacturing Complex,86,0,0
10087,Zaragoza Medical Center,87,1,0
10088,Aragon Industrial Park,88,0,0
10089,Zaragoza Regional Hospital,89,0,0
10090,Zaragoza Pharmaceutical Plant,90,0,0
10091,Hospital General Universitario de Alicante,91,0,0
10092,Alicante Food Industries,92,0,0
10093,Alicante Industrial Park,93,2,0
10094,University Hospital of Alicante,94,0,0
10095,Alicante Manufacturing Solutions,95,0,0
10096,Mediterranean Food Processing,96,0,0
10097,Alicante Medical Center,97,0,0
10098,Alicante Industrial Complex,98,0,0
10099,Alicante Regional Hospital,99,0,0
10100,Alicante Pharmaceutical Industries,100,1,0
10101,Hospital Universitario Marqués de Valdecilla,101,0,0
10102,Cantabrian Food Processing,102,0,0
10103,Santander Industrial Park,103,0,0
10104,University Medical Center of Santander,104,0,0
10105,Santander Manufacturing Systems,105,0,0
10106,Santander Regional Hospital,106,0,0
10107,Cantabrian Food Industries,107,2,0
10108,Santander Industrial Solutions,108,0,0
10109,Santander Medical Technologies,109,0,0
10110,Santander Pharmaceutical Plant,110,0,0
10111,Hospital Clínico Universitario Virgen de la Arrixaca,111,0,0
10112,Murcia Food Industries,112,0,0
10113,Murcia Industrial Park,113,0,0
10114,University Hospital of Murcia,114,0,0
10115,Mediterranean Food Processing Complex,115,1,0
10116,Murcia Medical Center,116,0,0
10117,Murcia Manufacturing Solutions,117,0,0
10118,Murcia Regional Hospital,118,0,0
10119,Murcia Pharmaceutical Industries,119,2,0
10120,Murcia Industrial Solutions,120,0,0
10121,Hospital General Universitario Santa Lucía,121,0,0
10122,Cartagena Food Industries,122,0,0
10123,Cartagena Industrial Complex,123,0,0
10124,University Medical Center of Cartagena,124,0,0
10125,Cartagena Manufacturing Plant,125,0,0
